24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
23,26,24,25,23,23,23,23,23,24,22,24,23,26,24,23
23,25,25,25,23,23,23,23,23,0,0,0,23,25,25,23
23,25,23,25,23,23,23,23,23,5,9,7,23,23,25,23
23,25,23,25,23,23,23,23,23,23,23,23,23,23,25,23
23,25,24,25,24,24,24,24,24,24,24,24,24,24,25,23
23,25,25,25,25,25,25,0,1,0,25,25,25,25,25,23
23,25,24,25,23,23,25,23,23,25,23,23,25,24,25,23
23,25,25,25,24,24,25,24,24,25,24,24,25,25,25,23
23,25,23,25,25,25,25,25,25,25,25,25,25,23,25,23
24,25,23,25,24,24,24,24,24,24,24,24,25,23,25,24
0,25,23,25,25,25,25,25,25,25,25,25,25,23,25,0
23,25,24,25,24,24,24,24,24,24,24,24,25,24,25,23
23,26,25,25,25,25,25,25,25,25,25,25,25,25,26,23
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
